id,imdb_id,overview,tagline,title,vote_average,vote_count,movieId,imdbId,tmdbId,movieId,rating,timestamp,userId
8012,tt0113161,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.","The mob is tough, but it’s nothing like show business.",Get Shorty,6.4,305,21,113161,8012,10,4,835355493,21
1710,tt0112722,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they're next.",Copycat,6.5,199,22,112722,1710,17,5,835355681,22
9691,tt0112401,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.","In the shadows of life, In the business of death, One man found a reason to live...",Assassins,6,394,23,112401,9691,39,5,835355604,23
12665,tt0114168,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.",An extraordinary encounter with another human being.,Powder,6.3,143,24,114168,12665,47,4,835355552,24
451,tt0113627,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",I Love You... The Way You Are.,Leaving Las Vegas,7.1,365,25,113627,451,50,4,835355586,25
16420,tt0114057,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,"Envy, greed, jealousy and love.",Othello,7,33,26,114057,16420,52,3,835356031,26
9263,tt0114011,"Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",In every woman there is the girl she left behind.,Now and Then,6.6,91,27,114011,9263,62,3,835355749,27
17015,tt0114117,"This film adaptation of Jane Austen's last novel follows Anne Elliot, the daughter of a financially troubled aristocratic family, who is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful and perhaps still in love with Anne.",,Persuasion,7.4,36,28,114117,17015,110,4,835355532,28
902,tt0112682,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",Where happily ever after is just a dream.,The City of Lost Children,7.6,308,29,112682,902,144,3,835356016,29
37557,tt0115012,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,In 1930's Shanghai violence was not the problem. It was the solution.,Shanghai Triad,6.5,17,30,115012,37557,150,5,835355395,30
9909,tt0112792,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",She broke the rules... and changed their lives.,Dangerous Minds,6.4,249,31,112792,9909,153,4,835355441,31
63,tt0114746,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",The future is history.,Twelve Monkeys,7.4,2470,32,114746,63,161,3,835355493,32
78802,tt0114952,,,Wings of Courage,6.8,4,34,112431,9598,165,3,835355441,34
9598,tt0112431,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.",A little pig goes a long way.,Babe,6,756,35,112637,47018,168,3,835355710,35
47018,tt0112637,"The story of the relationship between painter Dora Carrington and author Lytton Strachey in a World War One England of cottages and countryside. Although platonic due to Strachey's homosexuality, the relationship was nevertheless a deep and complicated one. When Carrington did develop a more physical relationship with soldier Ralph Partridge, Strachey was able to welcome him as a friend, although Partridge remained somewhat uneasy, not so much with Strachey's lifestyle and sexual orientation as with the fact that he was a conscientious objector.",A Love so Unusual it has to be True,Carrington,6.4,16,36,112818,687,185,3,835355511,36
687,tt0112818,A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. Susan Sarandon won an Oscar for best female actress for her convincing portrayal of Sister Helen Prejean.,,Dead Man Walking,7.3,350,37,112286,139405,186,3,835355664,37
139405,tt0112286,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is searching for the family of one of his ancestors, who had emigrated decades ago, but once sent a letter home together with a sample of his new profession: 3D-Photography. The boy follows his relative's traces by counter-checking the old 3D-Photographs of New York (using an antique viewer) with the same places and how they look today. This way, the audience gets to see the Big Apple in former times as well as today.",,Across the Sea of Time,3.5,2,38,113442,33689,208,3,835355511,38
33689,tt0113442,"Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.",Two identical strangers. Two different worlds. One perfect match.,It Takes Two,6.1,149,39,112697,9603,222,5,835355840,39
9603,tt0112697,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",Sex. Clothes. Popularity. Is there a problem here?,Clueless,6.9,828,40,112749,34615,223,1,835355749,40
34615,tt0112749,A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,,"Cry, the Beloved Country",6.7,13,41,114279,31174,225,3,835355552,41
31174,tt0114279,Shakespeare's Play transplanted into a 1930s setting.,"I can smile, and murder while I smile",Richard III,6.9,50,42,112819,11443,235,3,835355664,42
11443,tt0112819,"Depicts a heist of old bills, retired from circulation and destined by the government to be ""money to burn"". However, more broadly, it addresses the issues of Black Americans' involvement in the Vietnam War and their subsequent disillusionment with progress in social issues and civil rights back home in the United States, during the 1960s.","In this daring heist, the only color that counts is green",Dead Presidents,6.6,80,43,114272,35196,248,3,835355896,43
35196,tt0114272,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.",,Restoration,6.3,30,44,113855,9312,253,4,835355511,44
9312,tt0113855,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.",Nothing In This World Has Prepared You For This.,Mortal Kombat,5.4,452,45,114681,577,261,4,835355681,45
577,tt0114681,"Susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. A very dark comedy from independent director Gus Van Sant with a brilliant Nicole Kidman in the leading role.",All she wanted was a little attention.,To Die For,6.7,177,46,113347,11861,265,5,835355697,46
11861,tt0113347,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.",There's beauty in the patterns of life.,How To Make An American Quilt,6.5,38,47,114369,807,266,5,835355586,47
807,tt0114369,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",Seven deadly sins. Seven ways to die.,Se7en,8.1,5915,48,114148,10530,272,3,835355767,48
10530,tt0114148,"History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith.",An American legend comes to life.,Pocahontas,6.7,1509,49,114916,8391,273,4,835355779,49
8391,tt0114916,"A prudish woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman whom works at a local carnival which comes to town.",,When Night Is Falling,5.9,10,50,114814,629,292,3,835355492,50
629,tt0114814,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",Five Criminals. One Line Up. No Coincidence.,The Usual Suspects,8.1,3334,52,113819,11448,296,4,835355395,52
117164,tt0109950,"Detective - turned - bodyguard Cynthia McKay (Cynthia Rothrock) is hired by a psychotic icy seductress, Nina Lindell (Lydie Denier), the same woman who killed Mckay's lover months earlier.  With vendetta in her heart McKay accompanies the flamboyantly playful womanizer through the glamourous world of the super-rich as his protector.  In a unique role reversal, it is the woman protecting the man from another woman, erupting into a deadly triangle of passion, suspense and action.",She's no angel of mercy.,Guardian Angel,6.3,3,53,110299,49133,300,3,835355532,53
11448,tt0113819,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.",,Mighty Aphrodite,6.7,145,54,112499,26441,314,4,835356044,54
49133,tt0110299,"Fiore, an Italian conman, arrives in post Communist Albania with Gino, his young apprentice, to set up a shoe factory that will never open. The con requires a native Albanian, so they designate Spiro, an impoverished and confused former political prisoner as chairman of the board. When Fiore returns to Italy to get government funds for the project, Spiro unexpectedly disappears and Gino sets out on a journey to find him. The search leads him to discover Spiro's tragic personal history and witness Albanian poverty firsthand.",,Lamerica,7.7,11,55,113158,97406,317,2,835355551,55
26441,tt0112499,"In a depressed Texas town, British foreign exchange teacher Anna attempts to inject some life into her hopeless kids by introducing them to soccer. They're terrible at first, but Anna and her football-hero assistant whip them into shape. As they work overtime, the pair help kids build their self-esteem and also get involved in solving family squabbles.",The biggest kick of the year!,The Big Green,5.2,41,57,113321,9089,319,1,835355918,57
97406,tt0113158,"Sadie looks up to her older sister Georgia, a successful folk singer who's happily married with children, but can't break out of the bar-band circuit and hit the big time she desperately covets. It's in part due to her attraction to drugs and booze, and also to her own unwise choice in men. Finally, though, Sadie's Achilles heel is a rough, unlovely voice very different than her sister's crowd-pleasing singing.",The toughest act to follow was their dreams.,Georgia,6.1,15,58,110877,11010,339,3,835355492,58
124057,tt0113541,"Set in modern times, Alex finds King Arthur's sword Excalibur and must prove himself worthy of it.",,Kids of the Round Table,3,1,59,112714,99040,349,4,835355441,59
9089,tt0113321,"After losing her job, making out with her soon to be ex-boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson has to face spending the holiday with her family. She wonders if she can survive their crazy antics.",We'll do it every year..until we get it right,Home for the Holidays,6.3,39,60,113419,11359,350,4,835355697,60
11010,tt0110877,Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.,,The Postman,7.6,181,61,116260,17182,356,3,835355628,61
99040,tt0112714,"The year is 1952, in Quebec City. Rachel (16), unmarried and pregnant, works in the church. Filled with shame, she unburdens her guilt to a young priest, under the confidentiality of the confessional. In the present year of 1989, Pierre Lamontagne has returned to Quebec to attend his father's funeral. He meets up with his adopted brother, Marc, who has begun questioning his identity and has embarked on a quest for his roots that would lead them to the Quebec of the 1950s. Past and present converge in a complex web of intrigue where the answer to the mystery lies.",,The Confessional,6.5,2,62,113862,2054,357,3,835355749,62
11359,tt0113419,A nine-year-old boy gets a plastic Indian and a cupboard for his birthday and finds himself involved in adventure when the Indian comes to life and befriends him.,,The Indian in the Cupboard,5.9,136,63,116126,10607,364,3,835355604,63
17182,tt0116260,"It's fire and brimstone time as grieving mother Karen McCann takes justice into her own hands when a kangaroo court in Los Angeles fails to convict Robert Doob, the monster who raped and murdered her 17-year-old daughter.",What do you do when justice fails?,Eye for an Eye,5.8,65,64,118002,19760,367,3,835355619,64
2054,tt0113862,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.","Of All the Lives He Changed, the One That Changed the Most Was His Own.",Mr. Holland's Opus,6.9,115,65,115683,9536,370,2,835355932,65
10607,tt0116126,"When Ashtray (Shawn Wayans) moves to South Central L.A. to live with his father (who appears to be the same age he is) and grandmother (who likes to talk tough and smoke reefer), he falls in with his gang-banging cousin Loc Dog (Marlon Wayans), who along with the requisite pistols and Uzi carries a thermo-nuclear warhead for self-defense. Will Ashtray be able to keep living the straight life?","Finally, the movie that proves that Justice isn't always Poetic, Jungle Fever isn't always pretty, and Higher Learning can be a waste of time.",Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.2,192,66,116839,11525,371,3,835355968,66
19760,tt0118002,"Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that last job, which involves stealing a valuable painting. Frank takes Roz to an island on the coast of New England, where he wants to sell the painting and also hopes that their sagging relationship will get a positive push back up. Not everything goes as planned.","A new comedy about love, laughter, and larceny",Two If by Sea,4.5,14,68,113149,4482,372,3,835356094,68
9536,tt0115683,"Bud and Doyle are two losers who are doing nothing with their lives. Both of their girlfriends are actively involved in saving the environment, but the two friends couldn't care less about saving the Earth. One day, when a group of scientists begin a mission to live inside a ""Bio-Dome"" for a year without outside contact, Bud and Doyle mistakenly become part of the project themselves.",Bud and Doyle are here to save the world. But who's gonna save the world from Bud and Doyle?,Bio-Dome,4.4,110,69,113118,10634,377,3,835355710,69
11525,tt0116839,"Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and use. But what Walker doesn't realize is a group of teenage hackers are on to him and out to stop his plan.","God made him simple. Science made him a god. Now, he wants revenge.",Lawnmower Man 2: Beyond Cyberspace,2.8,32,70,116367,755,382,3,835356165,70
40628,tt0114753,"It's a hot summer day in 1933 in South Philly, where 12-year old Gennaro lives with his widowed mom and his ailing grandpa, who sits outside holding tight to his last quarter, which he's promised to Gennaro and which Gennaro would like to have to buy a ticket to the plush new movie theater. But grandpa's not ready to pass on the quarter or pass on to his final reward: he has some unfinished business with a woman from his past, and he enlists Gennaro to act as his emissary.",You're never too old to believe in a dream. Or too young to make one come true!,Two Bits,5.4,11,71,113010,11859,405,2,835356246,71
4482,tt0113149,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",,French Twist,6,43,72,113537,28387,410,3,835355532,72
10634,tt0113118,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.",A lot can go down between thursday and saturday...,Friday,7,513,73,113828,48750,454,4,835355604,73
755,tt0116367,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.",One night is all that stands between them and freedom. But it's going to be a hell of a night.,From Dusk Till Dawn,6.9,1644,74,115644,20927,457,3,835355511,74
11859,tt0113010,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her",He's a cop on the edge. She's a woman with a dangerous secret. And now they're both...,Fair Game,4.1,54,76,114367,9102,468,4,835355790,76
28387,tt0113537,"After college graduation, Grover's girlfriend Jane tells him she's moving to Prague to study writing. Grover declines to accompany her, deciding instead to move in with several friends, all of whom can't quite work up the inertia to escape their university's pull. Nobody wants to make any big decisions that would radically alter his life, yet none of them wants to end up like Chet, the professional student who tends bar and is in his tenth year of university studies.",Anxiety loves company.,Kicking and Screaming,7,36,77,113973,124626,474,2,835355828,77
48750,tt0113828,"In France during World War II, a poor and illiterate man, Henri Fortin (Jean-Paul Belmondo), is introduced to Victor Hugo's classic novel Les Misérables and begins to see parallels between the book and his own life.","In a time of chaos, in a world of change, he was moved by a book he could not read to become a hero he never imagined.",Les Miserables,6.6,8,78,112744,27526,480,4,835355643,78
20927,tt0115644,"The seeds of love are planted when Lisa, a high-powered investment banker, receives flowers from a secret admirer. But when his fairy-tale fantasies clash with her workaholic ways, they soon find out that sometimes, it's harder than it seems for love to conquer all.",He gave her flowers. She gave him a chance.,Bed of Roses,5.1,27,79,116731,9623,485,3,835355918,79
36929,tt0115676,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",A comedy for the kid in all of us.,Big Bully,3.9,16,80,112445,46785,497,3,835355880,80
9102,tt0114367,"(SIRIUS 6B, Year 2078) On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as Screamers designed for one purpose only -- to hunt down and destroy all enemy life forms.",The last scream you hear will be your own.,Screamers,6.1,154,81,114660,400,500,4,835355731,81
124626,tt0113973,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item, junkie and hag. Many faces for the same woman, whom, you realize, just couldn't bring herself to care enough to live.",,Nico Icon,7.3,3,82,112379,880,508,4,835355860,82
27526,tt0112744,"After his daughter died in a hit and run, Freddy Gale has waited six years for John Booth, the man responsible, to be released from prison. On the day of release, Gale visits Booth and announces that he will kill him in one week. Booth uses his time to try and make peace with himself and his entourage, and even finds romance. Gale, whose life is spiraling down because of his obsession towards Booth, will bring himself on the very edge of sanity. At he end of the week, both men will find themselves on a collision course with each other.","...some lives cross, others collide.",The Crossing Guard,6.1,74,83,114039,146599,509,4,835355719,83
9623,tt0116731,"With his gangster boss on trial for murder, a mob thug known as ""the Teacher"" tells Annie Laird she must talk her fellow jurors into a not-guilty verdict, implying that he'll kill her son Oliver if she fails. She manages to do this, but, when it becomes clear that the mobsters might want to silence her for good, she sends Oliver abroad and tries to gather evidence of the plot against her, setting up a final showdown.",There is no defense.,The Juror,5.5,91,84,113612,188588,515,4,835355817,84
46785,tt0112445,Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.,,The White Balloon,7.5,20,85,112365,8447,527,4,835355731,85
400,tt0114660,A mafia film in Tarantino style with a star-studded cast. Jimmy’s “The Saint” gangster career has finally ended. Yet now he finds him self doing favors for a wise godfather known as “The Man with the Plan.”,Protect. Love. Honor. Avenge.,Things to Do in Denver When You're Dead,6.7,87,86,118158,10534,537,4,835356199,86
880,tt0112379,"After World War II, Antonia and her daughter, Danielle, go back to their Dutch hometown, where Antonia's late mother has bestowed a small farm upon her. There, Antonia settles down and joins a tightly-knit but unusual community. Those around her include quirky friend Crooked Finger, would-be suitor Bas and, eventually for Antonia, a granddaughter and great-granddaughter who help create a strong family of empowered women.",A motion picture that celebrates everything you love about life.,Antonia's Line,7.2,26,87,116151,17414,539,3,835355767,87
146599,tt0114039,"This film relates the story of a tightly connected Afro-American community informally called Colored Town where the inhabitants live and depend on each other in a world where racist oppression is everywhere, as told by a boy called Cliff who spent his childhood there. Despite this, we see the life of the community in all its joys and sorrows, of those that live there while others decide to leave for a better life north. For those remaining, things come to a serious situation when one prominent businessman is being muscled out by a white competitor using racist intimidation. In response, the community must make the decision of whether to submit meekly like they always have, or finally fight for their rights.",,Once Upon a Time... When We Were Colored,4.5,2,88,115697,13997,550,3,835356109,88
188588,tt0113612,"Filmed entirely on location in East Hampton, Long Island, ""Last Summer in the Hamptons"" concerns a large theatrical family spending the last weekend of their summer together at the decades-old family retreat which economic circumstances have forced them to put on the market. Victoria Foyt plays a young Hollywood actress whose visit wreaks havoc on the stellar group of family and friends - led by matriarch Viveca Lindfors and made up of an extraordinary mix of prominent New York actors, directors, and playwrights. In the course of a very unusual weekend, comic as well as serious situations arise, and the family's secrets - of which there are many - begin to unravel.",,Last Summer in the Hamptons,0,0,89,113972,2086,551,5,835355767,89
